ID,Ring-necked Dove,Black Cuckoo,Red-chested Cuckoo,Fiery-necked Nightjar,Green Wood Hoopoe,Crested Barbet,Cape Batis,Olive Bushshrike,Orange-breasted Bushshrike,Bokmakierie,Black-backed Puffback,Southern Boubou,Black-headed Oriole,Fork-tailed Drongo,African Paradise Flycatcher,Sabota Lark,Eastern Clapper Lark,Rufous-naped Lark,Dark-capped Bulbul,Sombre Greenbul,Long-billed Crombec,African Reed Warbler,Rattling Cisticola,Levaillants Cisticola,Tawny-flanked Prinia,Karoo Prinia,Bar-throated Apalis,Green-backed Camaroptera,Chestnut-vented Warbler,Cape White-eye,Karoo Scrub Robin,White-browed Scrub Robin,Cape Robin-Chat,White-browed Robin-Chat,Chorister Robin-Chat,Southern Double-collared Sunbird,White-bellied Sunbird,African Pipit,African Rock Pipit,Cape Bunting
019OYB,3.540741e-05,1.07340675e-05,1.2112151e-05,0.99991524,1.6811463e-06,2.0724283e-07,1.743685e-06,1.649244e-05,1.1663409e-06,3.8420616e-08,6.659841e-09,1.0855812e-09,2.1027788e-09,1.6875667e-08,1.7208182e-06,1.198513e-06,1.2942453e-08,5.896456e-07,3.5134144e-07,5.5956257e-09,4.723924e-08,1.8042542e-09,3.288214e-08,2.2965309e-10,3.783892e-10,1.5136795e-09,3.7541463e-09,9.551579e-09,4.9587005e-08,1.5195033e-08,1.7166393e-07,5.9488148e-09,2.8422352e-08,7.743124e-08,6.561463e-07,7.48895e-08,4.81003e-10,7.0290835e-09,1.15341345e-08,7.470688e-08
01S9OX,4.1820374e-07,5.8236196e-07,3.2668948e-05,5.354476e-05,9.923575e-07,1.5746786e-05,8.318645e-06,0.00011123019,0.032405958,0.02836854,8.3498054e-07,0.00020696873,9.955857e-06,8.180376e-05,6.801855e-07,1.947797e-06,1.3877869e-05,1.2009767e-05,0.0005190719,1.8609297e-06,2.1661248e-07,0.0002569793,7.173346e-05,1.1603519e-06,2.5056391e-07,1.4104473e-06,0.0006017992,3.5060848e-06,0.93715346,6.086442e-07,1.07545056e-07,4.1361723e-06,2.1473748e-05,7.995516e-06,1.6917793e-05,1.0988409e-08,9.359354e-08,6.650069e-06,1.6606252e-06,2.766066e-06
02CS12,0.00017760879,0.00022051197,0.0015677166,0.006282494,0.014973008,0.0027310594,0.0146374265,0.00037652566,0.0033866053,0.011386658,0.008470857,0.00011454612,0.006181088,0.00715543,0.005808518,2.6513813e-05,0.00012588309,0.0034684956,0.07528539,0.0004849323,0.0028121835,0.01489435,0.002962639,0.094862565,0.0019048129,0.029581621,0.000563161,0.054602582,0.0011310107,0.0001184097,0.09114742,4.3268246e-06,0.0007528758,0.0030681086,5.551805e-05,0.15799582,0.0020120207,0.33135352,0.0012755957,0.04604014
02LM3W,7.206995e-06,1.3348196e-07,3.5220106e-05,1.3801266e-06,2.9151872e-06,2.0846437e-05,3.1688618e-05,0.995381,1.1332941e-05,3.860403e-05,3.7670606e-08,1.1823331e-07,6.3771597e-07,3.2810203e-06,2.3865582e-06,6.4269273e-10,5.827053e-08,1.3059543e-09,1.9552677e-09,9.2461345e-09,5.0970858e-08,1.049549e-07,2.0727361e-08,3.958213e-08,5.653566e-10,5.969981e-09,0.004358782,2.325059e-06,8.04008e-05,2.4345502e-08,1.591242e-08,2.0866644e-05,5.6078715e-09,8.097824e-09,2.947097e-07,8.564666e-08,3.516095e-10,4.7019535e-09,8.931151e-09,7.042653e-09
0C3A2V,0.0005162363,0.00038026526,0.0037819745,9.613763e-05,0.03727275,0.0018727587,0.0008808697,0.00019332506,0.00040582518,1.2931995e-06,0.09023823,0.0008159936,0.029460566,0.5989794,0.0032024079,2.0051168e-05,1.8172365e-06,0.0001772738,0.0031093834,2.8564358e-05,0.026304308,0.014351985,0.00036280442,0.069517955,4.4882427e-06,0.0002672253,0.008125868,0.0016345704,0.00067553885,0.062780015,0.00034888115,0.00092157646,0.003823502,0.018400272,0.0016799776,0.010258119,0.0040008766,0.004782984,0.00028267418,4.1217452e-05
0D4A65,3.5484072e-06,4.2936077e-07,1.0757446e-05,8.6918035e-06,0.00051474525,2.875478e-05,0.8417492,0.048159767,4.0953855e-06,0.012006106,1.3805882e-05,6.5667396e-06,1.3216349e-05,3.9468017e-05,0.0014369324,1.3177589e-08,2.9633424e-05,3.6232743e-07,0.0057356283,2.2863105e-05,7.777716e-05,1.3896617e-05,3.7429214e-08,9.07506e-05,5.0532617e-07,0.000335649,0.085486904,0.00021435309,2.651662e-06,1.379947e-07,6.7257e-05,4.0461114e-09,1.980146e-06,0.0036518804,1.618897e-06,2.4381556e-05,2.1156886e-08,5.6163585e-06,0.0002124879,2.766035e-05
0DK4NW,0.40766358,0.00014609048,5.8307625e-05,0.0035106132,0.068250135,1.0634762e-05,0.0008419371,0.00029549206,5.168381e-05,4.0086627e-05,0.26643395,0.0009769845,0.00025839836,0.0015586001,0.004700637,0.0029506306,0.00024254415,0.014258826,0.044320833,9.5417665e-05,0.041756015,7.997479e-06,0.0017637917,0.0014242384,0.0011327752,0.002478801,0.0022543336,0.005646316,0.0007773557,0.00035460482,0.0034988683,2.2041381e-06,0.00020345219,0.05877041,1.2376075e-05,0.042463824,0.0036540357,0.016916174,4.2369607e-05,0.00017467125
0E1YTK,7.0282176e-11,5.5259974e-08,4.1773065e-09,7.3435596e-10,8.479215e-08,2.4711811e-08,1.6533508e-07,8.401667e-08,4.025353e-09,2.2741686e-07,1.9592576e-09,5.155509e-10,4.0658696e-10,1.887105e-06,9.627843e-07,6.791854e-09,1.1015596e-10,4.684033e-12,6.3991533e-06,1.0242965e-09,3.7482724e-09,0.9999342,8.648213e-07,1.1589883e-06,1.9692711e-10,4.897801e-07,1.192144e-06,4.6427978e-08,5.1948373e-05,9.915886e-09,2.2378723e-08,1.4498963e-10,6.1642965e-08,1.2678193e-07,3.690113e-08,6.8263484e-09,1.2311885e-08,9.71271e-10,1.0687812e-09,4.413285e-09
0E6W1B,1.4816159e-07,7.085611e-07,6.1160773e-07,8.418286e-06,5.5906828e-08,1.5463158e-07,7.8048913e-07,6.0834395e-08,1.2837679e-06,0.0001018275,7.4290637e-07,3.2649825e-07,1.3348197e-06,5.0103567e-06,2.4567498e-05,0.99791926,1.5822596e-05,0.000108185064,2.686903e-05,1.2097442e-05,2.3768322e-07,3.8373173e-07,3.95693e-05,4.261259e-06,3.7375705e-07,7.969116e-06,1.9544439e-06,6.2658165e-07,0.0014892544,5.0830304e-06,1.129264e-05,8.399848e-06,1.4128743e-05,1.1143814e-07,2.7973458e-06,0.00015951143,1.2504151e-07,4.9253566e-07,5.125585e-06,2.0159836e-05
0EGKE8,3.387774e-07,0.98647565,0.00013326903,2.0437985e-06,1.3347242e-06,8.035503e-08,5.3577282e-06,3.904592e-05,0.0003056033,3.2202794e-07,7.3921133e-06,0.0017978313,0.0008649462,9.063586e-05,7.3844612e-06,1.0360224e-06,3.599683e-07,1.534894e-07,7.811809e-07,1.2708872e-08,5.187653e-07,4.3240096e-05,9.464038e-08,1.501526e-07,9.743818e-06,1.11779e-06,2.6049983e-07,1.1721062e-05,1.8364653e-05,2.0535342e-06,8.738384e-06,0.00010935441,0.0001752756,3.446405e-05,0.009832793,1.6355565e-06,1.4975876e-05,1.0876064e-06,7.8471265e-07,6.913679e-08
