"ID","Ring.necked.Dove","Black.Cuckoo","Red.chested.Cuckoo","Fiery.necked.Nightjar","Green.Wood.Hoopoe","Crested.Barbet","Cape.Batis","Olive.Bushshrike","Orange.breasted.Bushshrike","Bokmakierie","Black.backed.Puffback","Southern.Boubou","Black.headed.Oriole","Fork.tailed.Drongo","African.Paradise.Flycatcher","Sabota.Lark","Eastern.Clapper.Lark","Rufous.naped.Lark","Dark.capped.Bulbul","Sombre.Greenbul","Long.billed.Crombec","African.Reed.Warbler","Rattling.Cisticola","Levaillants.Cisticola","Tawny.flanked.Prinia","Karoo.Prinia","Bar.throated.Apalis","Green.backed.Camaroptera","Chestnut.vented.Warbler","Cape.White.eye","Karoo.Scrub.Robin","White.browed.Scrub.Robin","Cape.Robin.Chat","White.browed.Robin.Chat","Chorister.Robin.Chat","Southern.Double.collared.Sunbird","White.bellied.Sunbird","African.Pipit","African.Rock.Pipit","Cape.Bunting"
"019OYB",0.0002272058972,0.0003647411693,0.0029792902174,0.990227594,2.99518092e-06,1.9252238166e-05,4.9060705136e-05,0.000163461984574,5.3818241076e-05,0.0023771442115752,7.3285131282e-06,9.46159527624e-06,1.779260675576e-05,1.30263691634e-05,3.312681814e-05,2.696111189e-05,1.67568721666e-05,0.00041695893212,0.001018245380288,0.00017004189456514,5.252898348e-06,5.8497255664e-07,1.479287328e-06,9.2080896018e-08,9.1695462984e-07,8.391936369e-07,1.322035016086e-05,2.3663440578e-06,1.0490724047e-05,4.5298331686e-06,2.380926824e-06,5.412581088296e-05,2.17541154364e-05,0.001189339977548,0.00047039055666,5.2731169588e-06,5.930644266e-07,4.712908884e-08,2.09249371669e-05,1.165827596e-06
"01S9OX",0.000273793539348,0.000479435136392,0.0018105529002,0.00132097687532,0.0001620785437,0.0001975094196,0.006274174429,0.003802216536,0.01159487679,0.1575610238,0.000122449047128,0.003339088546,0.0015293794414,0.017946087486,0.0007570598677,0.0034240367754,0.0051751766878,0.0006273549374,0.004830270162,0.00016329935794,0.000131174520096,0.00453724826,0.000310725748,0.00011990398138,9.8540747642e-05,0.00095555898406,0.00383849786,0.00178464626496,0.664248976,0.00029530343084,0.0003129202778112,0.03079567020246,0.0155839901636,0.003603148571,0.0474420697986,7.66897224818e-05,6.0157562508e-05,0.000181736395,0.00148763353624,0.0027445507532
"02CS12",0.010730440618,0.001296596864,0.0005835116908,0.00807746184,0.0201157972,0.00691011774,0.0267271787,0.004611928972,0.0085939137,0.01883893288,0.00743203042,0.001834721556,0.002360767052,0.01807917914,0.00376021776,0.0041376280426,0.076234686418,0.00474543084,0.0467777434,0.002475314926,0.0114213469,0.0219583832,0.022234865,0.02855322292,0.0058263078,0.1804262262,0.00904012404,0.02158791966,0.000988675816,0.001921276986,0.0757585146,0.00076972459692,0.003512473064,0.003787588444,0.001433789356,0.1106846588,0.0037549461,0.1250048362,0.00341901724,0.093592478
"02LM3W",0.000130421716372,0.002516475479468,6.941170492e-05,0.0001995091857832,0.001729737834672,0.00037321589818,0.02204333433036,0.897455824,0.0056032924606,0.0572774585004,6.8722735172e-06,0.002534333799286,0.000461422893308,9.6518992368e-05,1.15462699874e-05,3.163855745266e-06,0.00024229511189,3.74473832506e-06,8.5299143368274e-05,7.29961348434e-07,9.0250862092e-07,0.000391627226308,5.45066736336e-05,5.8287896394e-06,1.411597441615e-05,6.96529016158e-05,0.0022852030412,0.00238471674934,0.000276994144565,2.772459743e-07,5.0243715584e-06,6.282440319e-05,1.091644998656e-05,2.66626790768e-05,0.00352511515099,1.07256963214e-06,1.70286015214e-06,1.5141344177e-06,2.1043032838e-06,3.46484543052e-05
"0C3A2V",0.00045601597,0.0008866996776,0.0008988740736,0.000404476237,0.01344513246,0.0004112667836,0.00031851446,0.001976908972,9.746896654e-05,5.2162201948e-05,0.03336996444,0.0004306855374,0.0080586575,0.15504208,0.01608646906,7.79483054e-05,2.10788173e-05,0.0001177305266,0.0030735878838,0.00054862488726,0.007656334,0.004024515142,0.00225760672636,0.0141501899288,1.6149679534e-05,7.41836724e-05,0.002912084028,0.00055125407648,0.0006181908542,0.2922528582,0.000284696934,0.00235660256092,0.08659971532,0.3207039584,0.02461908872,0.0029040247216,0.0010371043668,0.00106103991636,8.66471742e-05,5.944821186e-05
"0D4A65",0.00020973295144,0.000127675104154,8.3486308e-05,0.0009465602727,0.0006215841766,0.001057975596,0.2527562906,0.113127333,0.0002092544741,0.3755961292,0.0001113892478,0.00056251095992,0.0056436487394,0.00119930781848,0.0007127436898,3.18790114178e-05,0.0013263895308,6.5745568e-06,0.01081809093,0.000118894236,7.40417688e-05,0.0003771970238,0.0002457520385608,0.001768190166,1.6497549994e-05,0.00641940594,0.207148501768,0.00235174441,0.00131739939508,7.50261628e-06,0.00757576921,2.597119604228e-05,0.0001153344152,0.0010027926454,0.0001815377166,2.16021478e-05,8.5077587772e-06,0.0009838605777,0.003172059056,0.00191890731
"0DK4NW",0.0918810728,0.002855387676,9.13516378e-05,0.002005801458,0.07582217856,0.0033910165912,0.012206830956,0.041402763692,0.0023970081256,0.00700095744036,0.5863524092,0.0073925063292,0.0010054815294,0.00268847410014,0.01378394804,0.0011413561786,0.00534341775688,0.0033541881168,0.01555487186,0.002092623873,0.009906784483,0.00102406433674,0.0045806139594,0.0019269946642,0.0007297663002,0.01809616092,0.001696659712,0.02659006982,0.001041903674766,0.0002559617348,0.008128663203,2.373188379e-05,0.00162135992116,0.01230848518806,0.0007043765028,0.01763744828,0.00260916734,0.01179472561,0.0002484082688,0.00131096773874
"0E1YTK",3.2105389798352e-06,0.0001410185150548,1.1087924393e-06,6.855535763192e-06,0.000656480376082,1.90696563362e-05,0.004090493308676,0.0031027315504326,0.0004530371121577,0.000512344100996,0.00096837346333152,0.00097828347936418,0.000178409419969392,0.001248948323366,0.0005789738506,0.0005303062959278,0.000157889892941192,5.3457007400066e-06,0.00531768372312,3.72063744659e-05,0.00020528025135448,0.908560808,0.003411087874176,0.01754705536166,0.00103812028114542,0.00139870624742,0.00145076149904,0.0346274416182556,0.0014656883016,2.08488612172e-05,0.0096098883099446,4.0392726777826e-05,0.000119883726933,6.1519363546e-06,0.000319688058902,0.00023938152006768,0.0002148972573874,0.0003384889676482,4.476707169824e-05,0.000352972316885
"0E6W1B",1.66024760374e-06,2.32270245e-06,7.005587684e-06,2.6558027368e-06,1.180176524e-06,2.8570838192e-06,7.53481058e-07,1.63279574012e-07,2.262801762e-06,0.000177080663304,2.9459275778e-05,6.23683286e-07,1.2552499484e-06,2.870594219e-05,2.555905948e-05,0.982530434,2.87002264e-05,0.00010675031092,3.275546134e-05,1.733424804e-05,6.836002058e-06,7.580499626e-06,0.0046118382417572,5.26299389e-05,1.1918941996e-05,0.0002227206016,9.132459982e-07,1.5192629698e-05,0.0099477163218,3.125145762e-06,0.000276148434,0.0001566256856,0.000338956473948,7.34159788e-07,5.241218583e-06,0.0005927628326,0.000237402082102,3.0599129052e-05,2.5841522204e-05,0.0004557132552
"0EGKE8",9.706414608e-05,0.719980832,0.0017801500086,0.0004145394343,0.00071283809344,5.7102430758e-05,0.05382846470764,0.061317758084,0.01299447626,0.012070984276308,6.421780086e-05,0.0284401778,0.006451423166,0.00048069880806,0.00012871884744,1.1246561534e-05,0.0001386324003756,3.2916804052e-05,0.00018359076878,3.9574977184e-06,4.05661962e-06,0.0005526370127,7.4598061116e-05,8.458081808e-06,9.55163436e-05,2.377084322e-05,8.262016498e-05,0.0009782522604,6.51897932e-05,3.493422832e-05,1.220573466e-05,0.00033221295136,9.670716194e-05,0.001675606386,0.0964244938,0.00029008918736,3.409673886e-05,2.1590194e-06,8.806058698e-06,1.3753902094e-05
